,Open,neg,neu,pos,compound,label
365,23.629999,0.064,0.758,0.178,0.8473,0
366,23.25,0.057,0.943,0,-0.1027,1
367,23.6,0.071,0.844,0.084,0,1
368,23.93,0,0.822,0.178,0.6486,1
369,24.6,0,0.89,0.11,0.7096,1
370,24.41,0,0.97,0.03,0.466,1
371,25.07,0.081,0.919,0,-0.4767,0
372,24.57,0.039,0.923,0.038,-0.0258,1
373,23.82,0,1,0,0,1
374,23.91,0.03,0.823,0.147,0.8999,1
375,24.620001,0.052,0.902,0.046,-0.1779,1
376,24.74,0,0.803,0.197,0.765,1
377,24.93,0,0.794,0.206,0.8979,0
378,24.969999,0,0.805,0.195,0.9022,1
379,25.459999,0,1,0,0,0
380,25.92,0,0.93,0.07,0.3818,0
381,25.690001,0.016,0.834,0.15,0.8369,0
382,25.6,0.064,0.831,0.105,0.6908,1
383,24.459999,0,1,0,0,1
384,24.98,0.105,0.862,0.034,-0.6124,0
385,24.99,0.074,0.708,0.218,0.5994,1
386,25.440001,0.112,0.757,0.131,0.2732,1
387,25.66,0.096,0.729,0.174,0.8384,1
388,26.139999,0,0.872,0.128,0.7096,0
389,25.9,0.015,0.746,0.24,0.9825,1
390,26.49,0,0.918,0.082,0.9442,0
391,26.459999,0,0.892,0.108,0.8151,1
392,26.559999,0.021,0.912,0.067,0.8301,1
393,28.129999,0.096,0.904,0,-0.5267,1
394,28.73,0,1,0,0,0
395,28.07,0.024,0.872,0.104,0.9524,1
396,27.639999,0.024,0.868,0.107,0.7269,0
397,28.9,0.065,0.767,0.168,0.8955,1
398,29.08,0.035,0.792,0.173,0.9287,1
399,29.469999,0.039,0.866,0.095,0.4588,1
400,29.610001,0.183,0.746,0.071,-0.5106,0
401,30,0,0.841,0.159,0.7906,1
402,29.66,0,0.844,0.156,0.8047,0
403,29.84,0.065,0.935,0,-0.2732,1
404,29.15,0.026,0.89,0.084,0.5574,1
405,29.84,0.034,0.764,0.202,0.988,0
406,30.049999,0,0.836,0.164,0.6486,0
407,29.52,0.044,0.848,0.108,0.7964,1
408,29.709999,0.056,0.599,0.346,0.9319,1
409,29.889999,0.068,0.817,0.115,0.6369,1
410,30.6,0.046,0.88,0.074,0.34,1
411,30.709999,0.251,0.749,0,-0.8937,1
412,31,0.232,0.651,0.118,-0.6108,1
413,30.85,0.042,0.802,0.156,0.9371,1
414,30.879999,0.047,0.856,0.097,0.4019,0
415,30.15,0,0.807,0.193,0.8885,0
416,30.26,0.103,0.8,0.096,-0.1531,1
417,31.08,0.064,0.682,0.254,0.9628,0
