,neg,neu,pos,compound,Open,High,Low,Close,Volume,label
2886,0.119,0.86,0.021,-0.9904,17650.30078,17744.53906,17580.38086,17740.63086,80020000,0
2889,0.105,0.809,0.086,-0.8284,17743.84961,17783.16016,17668.38086,17705.91016,85590000,1
2890,0.177,0.775,0.048,-0.9967,17726.66016,17934.60938,17726.66016,17928.34961,75790000,0
2891,0.104,0.841,0.055,-0.9821,17919.0293,17919.0293,17711.05078,17711.11914,87390000,1
2892,0.096,0.86,0.043,-0.9779,17711.11914,17798.18945,17625.38086,17720.5,88560000,0
2893,0.1,0.833,0.067,-0.9607,17711.11914,17734.74023,17512.48047,17535.32031,86640000,1
2896,0.154,0.781,0.065,-0.9933,17531.75977,17755.80078,17531.75977,17710.71094,88440000,0
2897,0.102,0.849,0.049,-0.981,17701.46094,17701.46094,17469.91992,17529.98047,103260000,1
2898,0.111,0.828,0.062,-0.973,17501.2793,17636.2207,17418.21094,17526.61914,79120000,0
2899,0.169,0.745,0.086,-0.9895,17514.16016,17514.16016,17331.07031,17435.40039,95530000,1
2900,0.184,0.762,0.054,-0.995,17437.32031,17571.75,17437.32031,17500.93945,111990000,0
2903,0.217,0.729,0.054,-0.9975,17507.03906,17550.69922,17480.05078,17492.92969,87790000,1
2904,0.12,0.815,0.065,-0.9851,17525.18945,17742.58984,17525.18945,17706.05078,86480000,1
2905,0.18,0.767,0.053,-0.9968,17735.08984,17891.71094,17735.08984,17851.50977,79180000,0
2906,0.147,0.826,0.028,-0.9933,17859.51953,17888.66016,17803.82031,17828.28906,68940000,1
2907,0.095,0.864,0.041,-0.979,17826.84961,17873.2207,17824.73047,17873.2207,73190000,0
2911,0.148,0.778,0.074,-0.9905,17891.5,17899.24023,17724.0293,17787.19922,147390000,1
2912,0.119,0.832,0.049,-0.9859,17754.55078,17809.17969,17664.78906,17789.66992,78530000,1
2913,0.151,0.776,0.074,-0.9795,17789.05078,17838.56055,17703.55078,17838.56055,75560000,1
2914,0.105,0.815,0.08,-0.9062,17799.80078,17833.16992,17689.67969,17807.06055,82270000,1
2917,0.154,0.779,0.066,-0.9924,17825.68945,17949.67969,17822.81055,17920.33008,71870000,1
2918,0.093,0.841,0.066,-0.8806,17936.2207,18003.23047,17936.2207,17938.2793,78750000,1
2919,0.131,0.762,0.107,-0.872,17931.91016,18016,17931.91016,18005.05078,71260000,1
2920,0.115,0.798,0.087,-0.9647,17969.98047,18005.2207,17915.88086,17985.18945,69690000,0
2921,0.14,0.789,0.071,-0.9891,17938.82031,17938.82031,17812.33984,17865.33984,90540000,0
2924,0.174,0.717,0.109,-0.9849,17830.5,17893.2793,17731.34961,17732.48047,101690000,0
2925,0.141,0.785,0.074,-0.9846,17710.76953,17733.91992,17595.78906,17674.82031,93740000,0
2926,0.177,0.773,0.05,-0.9942,17703.65039,17762.96094,17629.00977,17640.16992,94130000,1
2927,0.125,0.839,0.036,-0.9941,17602.23047,17754.91016,17471.28906,17733.09961,91950000,0
2928,0.184,0.747,0.069,-0.9933,17733.43945,17733.43945,17602.7793,17675.16016,248680000,1
2931,0.195,0.75,0.055,-0.998,17736.86914,17946.35938,17736.86914,17804.86914,99380000,1
2932,0.187,0.771,0.042,-0.9977,17827.33008,17877.83984,17799.80078,17829.73047,85130000,0
2933,0.114,0.811,0.074,-0.9812,17832.66992,17920.16016,17770.35938,17780.83008,89440000,1
