,Open,Close,High,Low,Volume,neg,neu,pos,compound,label
1264,20.328571,20.684643,20.713928,20.234285,529429600,0.096,0.767,0.137,0.8418,0
1265,20.740715,20.633215,20.767857,20.409286,491674400,0.084,0.772,0.144,0.903,0
1266,20.327143,20.035357,20.451786,20.018572,520987600,0.086,0.823,0.091,0.3818,1
1267,20.053572,20.153214,20.267857,19.589285,556995600,0.056,0.828,0.116,0.9703,0
1268,20.045357,20.101072,20.231071,19.940357,388214400,0.046,0.923,0.031,-0.5859,0
1269,20.2775,20.409286,20.494642,20.196428,401455600,0.052,0.839,0.109,0.964,1
1270,20.6175,20.418571,20.618572,20.375,379766800,0.086,0.791,0.123,0.9414,1
1271,20.414286,20.725714,20.735001,20.321428,347516400,0.035,0.91,0.055,0.7559,0
1272,20.99,20.398928,21.017857,20.379642,591264800,0.014,0.911,0.075,0.9766,0
1273,20.516428,20.577143,20.593571,20.239286,435380400,0.07,0.835,0.095,0.8053,0
1274,20.518572,20.434286,20.66,20.370714,293580000,0.053,0.806,0.142,0.9787,0
1275,20.401428,20.411785,20.482143,20.259285,345573200,0.045,0.877,0.078,0.9228,0
1276,20.392857,20.504642,20.522142,20.341072,335255200,0.125,0.76,0.115,-0.7684,1
1277,20.391428,20.920713,20.996071,20.370358,440412000,0.016,0.933,0.051,0.9125,1
1278,20.835714,20.97893,21.071428,20.825001,361404400,0.013,0.894,0.093,0.9857,0
1279,21.0075,20.919285,21.044643,20.742857,358943200,0.041,0.877,0.082,0.9482,1
1280,20.908571,20.631071,21.007856,20.622858,326351200,0.073,0.851,0.076,0.2287,1
1281,20.68,20.789286,20.7925,20.550714,284471600,0.065,0.852,0.083,0.5423,0
1282,20.617857,20.384644,20.707144,20.370358,304382400,0.005,0.925,0.07,0.9643,0
1283,20.404642,20.429644,20.5175,20.261786,276536400,0.041,0.888,0.071,0.5346,0
1284,20.535715,20.517857,20.597857,20.425714,202997200,0.028,0.868,0.105,0.9723,0
1285,20.416786,20.323214,20.5,20.200357,282836400,0.029,0.884,0.087,0.9409,1
1286,20.642857,20.857143,20.857143,20.508928,421500800,0.053,0.887,0.06,0.4491,1
1287,21.245714,21.407499,21.428572,21.214285,241712800,0.096,0.831,0.073,-0.8511,1
1288,21.448572,21.783571,21.940714,21.416071,484383200,0.028,0.847,0.126,0.9817,0
1289,21.681786,21.638571,21.73,21.485001,418930400,0.106,0.798,0.097,-0.6249,1
1290,21.617857,21.924643,21.924999,21.575357,379405600,0.093,0.826,0.081,-0.1082,0
1291,22.070356,21.721786,22.138214,21.618214,511957600,0.026,0.871,0.103,0.9761,0
1292,21.647142,21.586786,21.702143,21.329287,469322000,0.054,0.872,0.075,0.7831,0
1293,21.437143,21.389286,21.5525,21.167143,428041600,0.032,0.897,0.071,0.7816,0
1294,21.533928,21.606071,21.685358,21.428572,311427200,0.029,0.884,0.088,0.8882,1
1295,21.611429,21.675358,21.843571,21.607857,301260400,0.035,0.834,0.131,0.9889,0
1296,21.813929,21.676428,21.839285,21.541071,293624800,0.054,0.829,0.117,0.9657,0
1297,21.663929,21.652143,21.726429,21.555714,252700000,0.026,0.913,0.06,0.7713,1
1298,21.831429,21.940001,21.976786,21.642857,436861600,0.049,0.864,0.086,0.8912,0
1299,21.893929,21.582144,21.944286,21.560715,397471200,0.051,0.863,0.086,0.9128,1
1300,21.228571,21.565357,21.639286,20.989643,487975600,0.062,0.82,0.118,0.9718,0
1301,21.692142,21.461428,21.774286,21.375357,565132400,0.065,0.776,0.159,0.9894,1
1302,20.516428,20.534643,20.742857,20.357143,877312800,0.061,0.872,0.066,-0.5259,0
1303,20.705715,20.531429,20.728571,20.370001,406632800,0.059,0.835,0.106,0.9558,1
1304,20.536072,20.898571,20.922501,20.413929,403936400,0.038,0.853,0.109,0.9702,1
1305,21.104286,21.251072,21.408571,20.993572,379142400,0.05,0.897,0.053,0.0899,1
1306,21.543928,21.812857,21.846428,21.525715,462327600,0.034,0.814,0.152,0.886,0
1307,21.996786,21.671785,22.014286,21.535715,384501600,0.118,0.785,0.097,-0.885,1
1308,21.530001,21.706785,21.810358,21.4375,332158400,0.1,0.791,0.109,0.4116,0
1309,21.915358,21.989286,22.070715,21.841429,344920800,0.106,0.767,0.127,0.7733,1
1310,22.046072,22.233929,22.316786,21.973572,302103200,0.025,0.873,0.103,0.9805,0
1311,22.241785,22.175358,22.321428,22.072857,290446800,0.068,0.876,0.055,-0.5029,1
1312,22.066071,22.168928,22.204643,22.064285,221642400,0.049,0.86,0.091,0.9696,0
1313,22.096786,22.203571,22.205715,22.096428,194938800,0.093,0.814,0.093,-0.2115,1
1314,22.263929,22.5,22.5,22.258928,278832400,0.047,0.846,0.106,0.9792,1
1315,22.566786,22.560358,22.807501,22.5075,340169200,0.044,0.866,0.091,0.9575,0
1316,22.546429,22.529642,22.642857,22.419643,257342400,0.037,0.838,0.125,0.987,1
1317,22.543215,22.726429,22.741428,22.517857,254534000,0.072,0.805,0.123,0.9703,1
1318,22.857143,23.146786,23.149643,22.814642,442761200,0.057,0.868,0.076,0.7506,1
1319,23.214643,23.755358,23.755358,23.210714,613384800,0.025,0.842,0.133,0.9871,0
1320,23.957857,23.430714,24.102858,23.226072,812719600,0.071,0.813,0.115,0.9491,1
1321,23.372143,23.888214,23.892857,23.146786,565322800,0.056,0.807,0.136,0.9818,1
1322,23.789642,23.665358,23.924999,23.612499,420128800,0.013,0.906,0.081,0.9562,0
1323,23.553928,23.686428,23.91,23.4125,437340400,0.034,0.915,0.051,0.5661,0
1324,24.285357,24.131428,24.316786,24.055,427008400,0.072,0.811,0.117,0.8516,0
1325,24.106428,24.1,24.146429,23.952499,267416800,0.024,0.836,0.14,0.8519,0
1326,24.116072,24.0525,24.202499,24.021429,202806800,0.12,0.79,0.09,-0.7019,0
1327,23.951429,23.709642,23.983929,23.673214,302699600,0.052,0.929,0.019,-0.4554,0
1328,23.830357,23.758572,23.878571,23.473215,338321200,0.181,0.742,0.077,-0.9231,0
1329,24.127501,23.936787,24.155357,23.914286,336375200,0.015,0.915,0.07,0.9607,0
1330,24.041786,24.1525,24.224644,23.957144,391196400,0.056,0.881,0.063,-0.296,1
1331,24.216072,24.301428,24.374287,24.134644,329666400,0.062,0.864,0.074,0.5865,0
1332,24.301786,23.669285,24.403214,23.646429,487998000,0.066,0.81,0.125,0.9726,0
1333,23.753929,23.592501,23.932142,23.446428,503983200,0.082,0.859,0.059,-0.8525,1
1334,23.816071,23.921072,23.924999,23.428572,712233200,0.022,0.89,0.089,0.9742,0
1335,24.191786,24.392143,24.482143,24.098928,598360000,0.037,0.9,0.062,0.8419,0
1336,24.641428,24.688572,24.892143,24.567499,600474000,0.04,0.905,0.055,0.5093,1
1337,24.976786,24.992144,24.992857,24.807501,398031200,0.054,0.871,0.075,0.7652,1
1338,24.995714,25.068214,25.083214,24.872143,373503200,0.089,0.767,0.143,0.9452,1
1339,25.009285,25.075001,25.1425,24.984642,326874800,0.097,0.872,0.031,-0.9547,0
1340,24.969999,24.953571,25.002142,24.772142,336568400,0.08,0.807,0.113,0.9062,1
1341,25.086071,25.003214,25.181072,24.977142,571589200,0.064,0.805,0.132,0.9704,1
1342,24.530714,24.671072,24.825714,24.392857,639766400,0.166,0.799,0.035,-0.9942,0
1343,24.580715,24.055,24.742144,24.035715,518789600,0.06,0.861,0.079,0.2617,1
1344,23.883572,23.756428,24.024643,23.614286,576503200,0.095,0.819,0.087,-0.4398,1
1345,23.724644,24.332857,24.363214,23.583929,594090000,0.05,0.818,0.131,0.9866,0
1346,24.241072,23.825001,24.325357,23.8125,535110800,0.063,0.806,0.131,0.7935,0
1347,23.969999,23.549643,24.169643,23.446428,543594800,0.021,0.927,0.052,0.8361,1
1348,23.636072,23.618214,23.798214,23.237499,627992400,0.024,0.893,0.083,0.8872,1
1349,23.745001,23.980356,23.995001,23.665358,424281200,0.062,0.816,0.122,0.9201,0
1350,23.973215,23.814285,24.080357,23.769644,370725600,0.066,0.884,0.051,-0.6897,0
1351,23.757143,23.306786,23.785715,23.26,594006000,0.067,0.82,0.113,0.9423,0
1352,23.102858,22.791786,23.127142,22.718214,637994000,0.103,0.82,0.077,-0.886,1
1353,22.808929,22.708929,22.874643,22.269644,838597200,0.113,0.818,0.068,-0.8927,1
1354,22.847857,22.889643,23.035,22.75,510356000,0.03,0.874,0.096,0.962,0
1355,23.089285,22.432142,23.114286,22.432142,546081200,0.024,0.859,0.117,0.9726,1
1356,22.484285,22.489643,22.692142,22.332144,460014800,0.058,0.846,0.096,0.926,0
1357,22.583929,22.67,22.683214,22.280357,432502000,0.057,0.859,0.084,0.7679,1
1358,22.691786,23.206785,23.225,22.535715,549771600,0.043,0.87,0.088,0.9413,0
1359,23.173929,23.021786,23.313929,23,389037600,0.105,0.803,0.092,-0.2263,0
1360,22.5375,21.780001,22.563213,21.772142,744086000,0.099,0.866,0.035,-0.9607,1
1361,21.872143,22.643929,22.692142,21.812857,546730800,0.042,0.871,0.087,0.944,0
1362,22.535715,21.905714,22.639286,21.846428,707145600,0.058,0.869,0.072,0.7088,0
1363,22.194286,22.029642,22.376785,21.808571,558527200,0.05,0.896,0.054,0.6103,0
1364,22.142857,21.769285,22.214285,21.626785,656325600,0.076,0.816,0.108,0.8639,0
1365,21.765358,21.571428,21.928572,21.107143,1018432800,0.087,0.799,0.114,0.8176,1
1366,21.245714,21.261429,21.498571,20.989286,510003200,0,0.96,0.04,0.5106,0
1367,21.281786,20.6,21.319643,20.526785,599373600,0.076,0.859,0.065,-0.743,0
1368,20.84,20.879286,20.991785,20.628571,529135600,0.05,0.897,0.053,0.2722,0
1369,21.079643,20.816071,21.097857,20.717501,374917200,0.051,0.869,0.08,0.9106,0
1370,20.494286,19.928572,20.519285,19.848215,793648800,0.019,0.909,0.072,0.7351,0
1371,20.022499,19.205357,20.079643,19.1175,1056146000,0.078,0.802,0.12,0.4019,1
1372,19.300714,19.537857,19.817142,19.061428,929913600,0.087,0.793,0.12,0.8275,0
1373,19.791071,19.386786,19.803572,19.237499,515802000,0.066,0.798,0.136,0.9898,1
1374,19.246786,19.389286,19.66,19.155714,532949200,0.009,0.872,0.119,0.9732,1
1375,19.482143,19.174286,19.551786,19.149286,477170400,0.029,0.855,0.116,0.9618,0
1376,19.1975,18.772142,19.267857,18.665001,789910800,0.048,0.821,0.131,0.9703,1
1377,18.757143,18.845715,18.928572,18.0625,1266893600,0.109,0.797,0.094,-0.6353,1
1378,19.311071,20.204643,20.267857,19.281429,823317600,0.046,0.836,0.118,0.9789,0
1379,20.425358,20.032499,20.426786,19.806429,642754000,0.036,0.84,0.124,0.9855,0
1380,20.151785,20.060715,20.263214,19.878571,373002000,0.04,0.851,0.109,0.9686,0
1381,20.256071,20.410715,20.428572,20.092857,272826400,0.014,0.843,0.142,0.9888,1
1382,20.567858,21.054644,21.071428,20.489643,630579600,0.039,0.847,0.114,0.9707,0
1383,21.055357,20.885,21.086428,20.717857,533330000,0.055,0.862,0.084,0.8779,0
