,Open,neg,neu,pos,compound,label
334,6.671786,0.029,0.875,0.096,0.9092,1
335,6.789643,0.031,0.876,0.093,0.8316,0
336,6.709286,0.091,0.826,0.083,-0.7209,0
337,6.493571,0.037,0.907,0.056,0.6486,1
338,6.402143,0.039,0.874,0.088,0.8876,0
339,6.456071,0.023,0.894,0.083,0.9349,1
340,6.526786,0.052,0.846,0.101,0.9393,1
341,6.693214,0.033,0.825,0.142,0.9274,0
342,6.694643,0.176,0.75,0.073,-0.6501,1
343,6.735714,0.019,0.859,0.122,0.9367,0
344,6.673572,0.022,0.931,0.047,0.34,0
345,6.572143,0.027,0.891,0.082,0.891,1
346,6.655,0,0.937,0.063,0.6908,1
347,6.714286,0.052,0.872,0.076,0.6668,0
348,6.446786,0.026,0.863,0.111,0.9678,1
349,6.583571,0.005,0.951,0.044,0.8276,0
350,6.481786,0.015,0.921,0.065,0.9319,0
351,6.13,0.01,0.927,0.063,0.9169,1
352,6.117857,0.077,0.777,0.146,0.8602,1
353,6.360714,0.071,0.863,0.065,-0.504,1
354,6.468572,0.102,0.838,0.06,-0.9516,0
355,6.376786,0.052,0.891,0.057,-0.0858,1
356,6.405357,0.099,0.823,0.078,-0.7845,0
357,6.240714,0.152,0.784,0.065,-0.9269,0
358,6.156072,0.052,0.835,0.113,0.8385,1
359,6.236072,0.02,0.867,0.113,0.9689,1
360,6.216786,0.01,0.86,0.13,0.9728,0
361,6.078214,0.037,0.894,0.069,0.5106,0
362,5.865357,0.048,0.891,0.062,0.4588,1
363,6.257143,0.025,0.842,0.133,0.9794,0
364,6.056786,0.036,0.874,0.089,0.873,1
365,6.184286,0.049,0.858,0.093,0.8442,1
366,6.435714,0.057,0.863,0.08,0.8109,0
367,6.247143,0.026,0.91,0.064,0.9196,1
368,6.266786,0.081,0.792,0.128,0.9477,0
369,6.401429,0.005,0.932,0.063,0.9501,0
370,6.16,0.015,0.866,0.118,0.9686,0
371,6.078571,0.026,0.924,0.051,0.8636,1
372,6.217857,0.017,0.909,0.074,0.9493,0
373,6.018571,0.025,0.763,0.213,0.9832,0
374,5.960714,0.023,0.855,0.122,0.9853,0
375,5.321429,0.072,0.833,0.095,0.6995,1
376,5.8925,0.085,0.816,0.098,0.7865,1
377,5.868571,0.113,0.802,0.085,-0.7606,0
378,5.728571,0.064,0.821,0.115,0.9441,1
379,5.797857,0.127,0.782,0.091,-0.8085,0
380,5.550357,0.191,0.644,0.165,-0.5565,1
381,5.635,0.153,0.777,0.07,-0.4939,1
382,5.626429,0.015,0.916,0.069,0.504,1
383,5.592857,0,0.858,0.142,0.8947,0
384,5.550714,0.059,0.809,0.132,0.8705,1
385,5.713214,0.042,0.849,0.109,0.9083,1
386,5.811071,0,0.881,0.119,0.7622,1
387,5.852143,0.363,0.637,0,-0.9136,1
388,6.073928,0.074,0.795,0.13,0.8948,1
389,6.197143,0.121,0.76,0.119,0.1531,1
390,6.368928,0.022,0.931,0.047,0.7717,1
391,6.394286,0.023,0.952,0.025,0.1027,0
392,6.270357,0,0.945,0.055,0.5994,0
393,6.233572,0.104,0.847,0.05,-0.8481,0
394,6.241786,0.066,0.848,0.086,0.778,1
395,6.231071,0.082,0.841,0.077,0.1615,0
396,6.279286,0.076,0.793,0.13,0.9614,1
397,6.291071,0.017,0.882,0.101,0.912,0
398,6.189643,0.026,0.818,0.156,0.9915,1
399,6.26,0.035,0.749,0.215,0.991,0
400,6.177143,0.112,0.814,0.074,-0.5549,0
401,6.157143,0.03,0.847,0.123,0.9873,0
402,5.958571,0.028,0.896,0.076,0.9563,1
403,5.923572,0.038,0.805,0.157,0.9921,0
404,5.663929,0.03,0.911,0.059,0.7425,1
405,5.8775,0.107,0.861,0.032,-0.9337,0
406,5.602143,0.056,0.845,0.099,0.9061,0
407,5.44,0.063,0.851,0.086,0.7783,0
408,5.292143,0,0.933,0.067,0.9313,1
409,5.389643,0,0.941,0.059,0.8313,0
410,5.0725,0.05,0.901,0.049,-0.3182,0
411,4.780715,0.084,0.847,0.069,-0.7717,1
412,4.946072,0.081,0.813,0.106,0.8979,0
413,4.663214,0.049,0.848,0.103,0.9486,1
414,5.092857,0.072,0.884,0.044,-0.7089,0
415,4.997857,0.097,0.849,0.054,-0.8693,0
416,4.545357,0.03,0.802,0.168,0.9867,1
417,4.635714,0.07,0.815,0.115,0.9133,1
418,4.461071,0.105,0.777,0.117,0.5106,1
419,4.272143,0,1,0,0,0
420,3.866071,0.051,0.871,0.078,0.34,1
421,3.997143,0.064,0.852,0.084,0.6907,0
422,3.8575,0.096,0.856,0.048,-0.9289,0
423,3.714286,0.04,0.907,0.053,0.6767,0
424,3.284286,0.065,0.851,0.084,0.7175,1
425,3.068214,0.074,0.847,0.078,-0.1842,1
426,3.333929,0.046,0.932,0.022,-0.6322,0
427,3.060714,0.018,0.854,0.128,0.9839,1
428,4.152143,0.018,0.823,0.159,0.9909,0
429,3.708571,0.019,0.881,0.099,0.9659,0
430,3.563214,0.065,0.889,0.046,-0.3612,1
431,3.557143,0.043,0.957,0,-0.3818,0
432,3.4625,0.05,0.83,0.12,0.9646,0
433,3.4775,0.018,0.936,0.047,0.7194,0
434,3.446786,0.059,0.891,0.05,-0.5767,1
435,3.226071,0.096,0.812,0.092,0.153,1
436,3.395357,0.023,0.919,0.057,0.765,0
437,3.408214,0,0.841,0.159,0.8442,1
438,3.865357,0.02,0.886,0.094,0.95,1
439,3.835714,0.091,0.867,0.042,-0.8588,1
440,3.928214,0.055,0.871,0.073,0.7269,1
441,3.889643,0.071,0.851,0.078,0.3818,0
442,3.608929,0.055,0.803,0.143,0.984,0
443,3.544286,0.067,0.839,0.094,0.8981,0
444,3.5775,0.131,0.817,0.052,-0.947,0
445,3.386071,0.013,0.897,0.089,0.9018,0
446,3.301071,0,0.924,0.076,0.9001,0
447,3.209643,0.046,0.873,0.081,0.8779,1
448,3.348572,0.041,0.896,0.063,0.8541,0
449,3.16,0.061,0.855,0.084,0.8095,0
450,3.201429,0.019,0.86,0.121,0.9646,1
451,3.194286,0.031,0.81,0.159,0.9822,0
452,3.044286,0.028,0.879,0.093,0.9526,0
453,2.926071,0.038,0.893,0.068,0.875,1
454,3.043214,0.051,0.859,0.09,0.5719,1
455,3.379643,0.026,0.852,0.121,0.9796,0
456,3.211429,0.041,0.843,0.116,0.9668,1
457,3.382143,0.028,0.773,0.199,0.989,0
458,3.260714,0.046,0.818,0.137,0.9839,0
459,3.215357,0.103,0.765,0.132,0.8132,1
460,3.3725,0.026,0.858,0.116,0.962,0
461,3.226786,0.086,0.805,0.108,0.4497,1
462,3.474286,0.069,0.864,0.067,-0.1196,1
463,3.501429,0.058,0.835,0.107,0.9462,1
464,3.495357,0.07,0.797,0.132,0.9757,1
465,3.476786,0.036,0.863,0.101,0.9439,0
466,3.314286,0.045,0.875,0.08,0.8126,1
467,3.356429,0.025,0.886,0.089,0.91,1
468,3.251071,0.009,0.843,0.148,0.9845,0
469,3.189643,0.045,0.835,0.119,0.9585,1
470,3.212143,0.101,0.839,0.06,-0.8109,1
471,3.215,0.04,0.85,0.11,0.9129,0
472,3.1025,0.043,0.818,0.139,0.9843,0
473,3.076429,0.023,0.793,0.184,0.9942,0
474,3.09,0.05,0.918,0.032,-0.6523,1
475,3.070357,0.076,0.811,0.113,0.7512,0
476,3.067143,0.112,0.782,0.106,-0.4541,1
477,3.3275,0.024,0.803,0.172,0.9924,1
478,3.278929,0.093,0.864,0.043,-0.9102,0
479,3.229643,0.028,0.942,0.03,0.3899,1
480,3.328928,0.061,0.798,0.141,0.9485,0
481,3.230714,0.067,0.872,0.061,-0.4587,0
482,3.151428,0.015,0.818,0.167,0.9845,0
483,2.8775,0.04,0.877,0.083,0.9551,1
484,3.010714,0.046,0.853,0.101,0.9679,0
485,2.926071,0.029,0.881,0.09,0.8469,0
486,2.835357,0.049,0.807,0.144,0.977,1
487,3.144286,0.119,0.831,0.051,-0.9871,1
488,3.100714,0.118,0.851,0.031,-0.9788,1
489,3.173571,0.078,0.805,0.116,0.875,1
490,3.221071,0.02,0.821,0.158,0.975,1
491,3.29,0,0.802,0.198,0.8126,1
492,3.324643,0.085,0.738,0.177,0.9776,0
493,3.307143,0.216,0.72,0.063,-0.743,0
494,3.182143,0.15,0.669,0.181,0.8622,1
495,3.282857,0.06,0.842,0.098,0.644,1
496,3.329286,0.058,0.847,0.096,0.4902,1
497,3.313214,0.024,0.925,0.052,0.7906,1
498,3.465,0.025,0.864,0.112,0.9578,1
499,3.571429,0.037,0.857,0.106,0.9485,1
500,3.618929,0.05,0.854,0.096,0.8807,0
501,3.441786,0.048,0.83,0.122,0.9576,1
502,3.4225,0.022,0.886,0.092,0.9417,1
503,3.535357,0.026,0.924,0.049,0.8208,1
504,3.459643,0.028,0.792,0.18,0.9898,0
505,3.394643,0.04,0.811,0.15,0.9851,0
506,3.334643,0.033,0.842,0.125,0.9767,0
507,3.192857,0.053,0.858,0.09,0.8519,1
508,3.273214,0.065,0.768,0.167,0.984,0
509,3.123214,0.042,0.839,0.119,0.9694,1
510,3.209286,0.048,0.9,0.052,0.2885,1
511,3.285714,0.03,0.876,0.094,0.9491,0
512,3.140357,0.008,0.868,0.124,0.9712,1
513,3.147143,0.052,0.837,0.111,0.9541,0
514,3.176071,0,0.937,0.063,0.8919,0
515,3.220714,0.034,0.863,0.103,0.9688,1
