,neg,neu,pos,compound,Open,label
1043,0.131,0.809,0.06,-0.9806,12201.44043,1
1044,0.189,0.727,0.083,-0.9934,12266.75,1
1045,0.174,0.769,0.057,-0.986,12453.62012,1
1049,0.093,0.834,0.073,-0.8769,12505.99023,0
1050,0.173,0.751,0.075,-0.9961,12480.86035,1
1051,0.123,0.834,0.043,-0.986,12592.23047,1
1052,0.145,0.745,0.109,-0.9413,12689.90039,1
1053,0.162,0.791,0.047,-0.9957,12763.45996,1
1056,0.109,0.821,0.07,-0.8904,12810.16016,0
1057,0.204,0.733,0.063,-0.9926,12806.37988,1
1058,0.184,0.766,0.05,-0.996,12806.29004,0
1059,0.19,0.756,0.054,-0.9968,12723.65039,0
1060,0.171,0.741,0.087,-0.9949,12580.75977,1
1063,0.15,0.76,0.09,-0.989,12637.83008,1
1064,0.238,0.715,0.047,-0.9985,12685.12988,1
1065,0.112,0.814,0.074,-0.9498,12745.87012,0
1066,0.193,0.78,0.027,-0.9986,12629.95996,1
1067,0.183,0.771,0.046,-0.9971,12695.65039,0
1070,0.149,0.821,0.029,-0.9952,12594.76953,0
1071,0.118,0.852,0.03,-0.9896,12541.33008,0
1072,0.134,0.785,0.081,-0.9817,12471.78027,1
1073,0.073,0.868,0.059,-0.3071,12561.45996,1
1074,0.171,0.755,0.075,-0.991,12604.71973,0
1077,0.293,0.611,0.096,-0.9992,12511.36035,0
1078,0.174,0.776,0.05,-0.9936,12381.57031,0
1079,0.161,0.764,0.075,-0.9937,12355.4502,1
1080,0.131,0.778,0.091,-0.9631,12391.62988,1
1081,0.149,0.792,0.059,-0.9884,12398.05957,1
1085,0.225,0.736,0.038,-0.9967,12443.40039,1
1086,0.187,0.763,0.05,-0.9984,12569.41016,0
1087,0.204,0.756,0.04,-0.9979,12289.61035,0
1088,0.196,0.765,0.038,-0.997,12247.79981,0
1091,0.184,0.763,0.053,-0.9949,12151.19043,0
1092,0.128,0.813,0.059,-0.987,12090.17969,0
1093,0.165,0.745,0.091,-0.9863,12066.26953,0
1094,0.132,0.781,0.087,-0.9652,12049.46973,1
1095,0.134,0.806,0.06,-0.9799,12124.16992,0
1098,0.117,0.828,0.055,-0.9552,11945.33008,1
1099,0.161,0.776,0.063,-0.9937,11951.37988,1
1100,0.126,0.806,0.067,-0.9733,12075.12012,0
1101,0.123,0.826,0.05,-0.9834,11896.12988,1
1102,0.159,0.818,0.023,-0.9948,11962.66016,1
1105,0.131,0.814,0.056,-0.9846,12004.28027,1
1106,0.188,0.719,0.093,-0.9945,12081.33008,1
1107,0.171,0.745,0.084,-0.9847,12189.70996,0
1108,0.176,0.742,0.082,-0.9962,12108.34961,0
1109,0.156,0.769,0.075,-0.9909,12049.24023,0
1112,0.078,0.859,0.063,-0.8396,11934.66016,1
1113,0.162,0.777,0.062,-0.9903,12043.55957,1
1114,0.118,0.817,0.065,-0.9723,12187.62988,1
1115,0.147,0.817,0.036,-0.9918,12262.25,1
1116,0.167,0.753,0.08,-0.9921,12414.33984,1
1120,0.192,0.765,0.043,-0.9966,12569.87012,1
1121,0.128,0.826,0.046,-0.9896,12562.46973,1
1122,0.12,0.82,0.061,-0.9734,12627.23047,1
1123,0.206,0.713,0.08,-0.9965,12717.90039,0
1126,0.154,0.797,0.049,-0.9933,12655.62012,0
1127,0.161,0.792,0.047,-0.996,12505.54004,0
1128,0.148,0.77,0.081,-0.9896,12447.33008,1
1129,0.137,0.752,0.111,-0.9352,12491.53027,0
1130,0.132,0.835,0.033,-0.9891,12437.12012,1
1133,0.137,0.827,0.035,-0.9925,12475.11035,0
1134,0.169,0.777,0.054,-0.9955,12386.03027,1
1135,0.133,0.801,0.066,-0.993,12583.67969,0
1136,0.167,0.783,0.05,-0.9923,12567.07031,1
1137,0.169,0.815,0.016,-0.9943,12724.70996,0
1140,0.151,0.799,0.05,-0.9938,12679.71973,0
1141,0.175,0.746,0.08,-0.995,12592.12012,0
1142,0.184,0.713,0.103,-0.9873,12498.41992,0
1143,0.179,0.775,0.046,-0.9946,12301.71973,0
1144,0.137,0.789,0.074,-0.9584,12239.36035,0
1147,0.268,0.702,0.03,-0.9987,12144.21973,0
1148,0.135,0.81,0.054,-0.988,12129.76953,0
1149,0.127,0.812,0.061,-0.9731,11863.74023,1
1150,0.162,0.77,0.068,-0.9939,11893.86035,0
1151,0.167,0.783,0.05,-0.9924,11383.98047,1
1154,0.145,0.76,0.095,-0.9588,11433.92969,0
1155,0.237,0.719,0.045,-0.9986,10810.91016,1
1156,0.177,0.791,0.032,-0.9975,11228,0
1157,0.177,0.778,0.044,-0.9953,10729.84961,1
1158,0.178,0.753,0.068,-0.9951,11143.45996,1
1161,0.149,0.785,0.065,-0.9812,11269.84961,1
1162,0.197,0.77,0.033,-0.9959,11480.48047,0
1163,0.178,0.741,0.081,-0.996,11392.00977,1
1164,0.103,0.839,0.058,-0.9532,11406.26953,0
1165,0.177,0.776,0.047,-0.9968,10989.75,0
1168,0.158,0.806,0.036,-0.988,10820.37012,1
1169,0.097,0.827,0.076,-0.8026,10854.58008,1
1170,0.151,0.781,0.067,-0.9935,11175.78027,1
1171,0.175,0.769,0.057,-0.9911,11321.01953,0
1172,0.16,0.797,0.044,-0.9945,11149.82031,1
1175,0.165,0.802,0.033,-0.9946,11286.65039,1
1176,0.197,0.754,0.049,-0.9967,11532.12988,1
1177,0.181,0.775,0.044,-0.997,11560.48047,1
1178,0.128,0.791,0.082,-0.9675,11613.29981,0
1179,0.121,0.807,0.071,-0.9688,11492.05957,0
1183,0.108,0.83,0.062,-0.9678,11237.30957,0
1184,0.112,0.858,0.03,-0.9895,11137.62988,1
1185,0.182,0.756,0.062,-0.997,11414.86035,0
1186,0.191,0.777,0.032,-0.9978,11294.59961,0
1189,0.148,0.791,0.061,-0.9901,10990.00977,1
1190,0.156,0.752,0.092,-0.9897,11054.99023,1
1191,0.212,0.727,0.061,-0.9962,11106.83008,1
1192,0.134,0.793,0.073,-0.9849,11247.71973,1
1193,0.172,0.733,0.095,-0.9919,11433.70996,1
1196,0.143,0.753,0.104,-0.9827,11506.82031,0
1197,0.08,0.801,0.119,0.9228,11401.46973,1
1198,0.243,0.731,0.026,-0.9987,11408.58008,0
1199,0.174,0.753,0.074,-0.9951,11121.88965,0
1200,0.167,0.779,0.054,-0.9904,10732.76953,1
1203,0.142,0.789,0.069,-0.987,10771.78027,1
1204,0.218,0.731,0.051,-0.9981,11045.23047,1
1205,0.173,0.76,0.067,-0.9895,11189.09961,0
1206,0.099,0.804,0.097,0.1909,11012.79004,1
1207,0.155,0.757,0.088,-0.9886,11152.32031,0
1210,0.143,0.769,0.087,-0.9817,10912.09961,0
1211,0.186,0.739,0.075,-0.9915,10651.44043,1
1212,0.122,0.806,0.071,-0.9768,10800.46973,1
1213,0.182,0.757,0.061,-0.9956,10939.87012,1
1214,0.178,0.757,0.066,-0.9967,11123.41016,0
1217,0.252,0.696,0.052,-0.9986,11104.55957,1
1218,0.138,0.797,0.065,-0.9794,11432.79981,0
1219,0.18,0.749,0.072,-0.9968,11417.36035,1
1220,0.15,0.81,0.04,-0.9954,11518.08984,0
1221,0.188,0.75,0.061,-0.9966,11478.96973,1
1224,0.175,0.756,0.069,-0.9945,11643.34961,0
1225,0.152,0.809,0.039,-0.995,11396.16992,1
